continent,location,date,population,new_vaccinations,rolling_people_vaccinated,percentage_vaccinated
Africa,Congo,2020-11-21,5518092,,,
Africa,Congo,2020-11-22,5518092,,,
Africa,Congo,2020-11-23,5518092,,,
Africa,Congo,2020-11-24,5518092,,,
Africa,Congo,2020-11-25,5518092,,,
Africa,Congo,2020-11-26,5518092,,,
Africa,Congo,2020-11-27,5518092,,,
Africa,Congo,2020-11-28,5518092,,,
Africa,Congo,2020-11-29,5518092,,,
Africa,Congo,2020-11-30,5518092,,,
Africa,Congo,2020-12-01,5518092,,,
Africa,Congo,2020-12-02,5518092,,,
Africa,Congo,2020-12-03,5518092,,,
Africa,Congo,2020-12-04,5518092,,,
Africa,Congo,2020-12-05,5518092,,,
Africa,Congo,2020-12-06,5518092,,,
Africa,Congo,2020-12-07,5518092,,,
Africa,Congo,2020-12-08,5518092,,,
Africa,Congo,2020-12-09,5518092,,,
Africa,Congo,2020-12-10,5518092,,,
Africa,Congo,2020-12-11,5518092,,,
Africa,Congo,2020-12-12,5518092,,,
Africa,Congo,2020-12-13,5518092,,,
Africa,Congo,2020-12-14,5518092,,,
Africa,Congo,2020-12-15,5518092,,,
Africa,Congo,2020-12-16,5518092,,,
Africa,Congo,2020-12-17,5518092,,,
Africa,Congo,2020-12-18,5518092,,,
Africa,Congo,2020-12-19,5518092,,,
Africa,Congo,2020-12-20,5518092,,,
Africa,Congo,2020-12-21,5518092,,,
Africa,Congo,2020-12-22,5518092,,,
Africa,Congo,2020-12-23,5518092,,,
Africa,Congo,2020-12-24,5518092,,,
Africa,Congo,2020-12-25,5518092,,,
Africa,Congo,2020-12-26,5518092,,,
Africa,Congo,2020-12-27,5518092,,,
Africa,Congo,2020-12-28,5518092,,,
Africa,Congo,2020-12-29,5518092,,,
Africa,Congo,2020-12-30,5518092,,,
Africa,Congo,2020-12-31,5518092,,,
Africa,Congo,2021-01-01,5518092,,,
Africa,Congo,2021-01-02,5518092,,,
Africa,Congo,2021-01-03,5518092,,,
Africa,Congo,2021-01-04,5518092,,,
Africa,Congo,2021-01-05,5518092,,,
Africa,Congo,2021-01-06,5518092,,,
Africa,Congo,2021-01-07,5518092,,,
Africa,Congo,2021-01-08,5518092,,,
Africa,Congo,2021-01-09,5518092,,,
Africa,Congo,2021-01-10,5518092,,,
Africa,Congo,2021-01-11,5518092,,,
Africa,Congo,2021-01-12,5518092,,,
Africa,Congo,2021-01-13,5518092,,,
Africa,Congo,2021-01-14,5518092,,,
Africa,Congo,2021-01-15,5518092,,,
Africa,Congo,2021-01-16,5518092,,,
Africa,Congo,2021-01-17,5518092,,,
Africa,Congo,2021-01-18,5518092,,,
Africa,Congo,2021-01-19,5518092,,,
Africa,Congo,2021-01-20,5518092,,,
Africa,Congo,2021-01-21,5518092,,,
Africa,Congo,2021-01-22,5518092,,,
Africa,Congo,2021-01-23,5518092,,,
Africa,Congo,2021-01-24,5518092,,,
Africa,Congo,2021-01-25,5518092,,,
Africa,Congo,2021-01-26,5518092,,,
Africa,Congo,2021-01-27,5518092,,,
Africa,Congo,2021-01-28,5518092,,,
Africa,Congo,2021-01-29,5518092,,,
Africa,Congo,2021-01-30,5518092,,,
Africa,Congo,2021-01-31,5518092,,,
Africa,Congo,2021-02-01,5518092,,,
Africa,Congo,2021-02-02,5518092,,,
Africa,Congo,2021-02-03,5518092,,,
Africa,Congo,2021-02-04,5518092,,,
Africa,Congo,2021-02-05,5518092,,,
Africa,Congo,2021-02-06,5518092,,,
Africa,Congo,2021-02-07,5518092,,,
Africa,Congo,2021-02-08,5518092,,,
Africa,Congo,2021-02-09,5518092,,,
Africa,Congo,2021-02-10,5518092,,,
Africa,Congo,2021-02-11,5518092,,,
Africa,Congo,2021-02-12,5518092,,,
Africa,Congo,2021-02-13,5518092,,,
Africa,Congo,2021-02-14,5518092,,,
Africa,Congo,2021-02-15,5518092,,,
Africa,Congo,2021-02-16,5518092,,,
Africa,Congo,2021-02-17,5518092,,,
Africa,Congo,2021-02-18,5518092,,,
Africa,Congo,2021-02-19,5518092,,,
Africa,Congo,2021-02-20,5518092,,,
Africa,Congo,2021-02-21,5518092,,,
Africa,Congo,2021-02-22,5518092,,,
Africa,Congo,2021-02-23,5518092,,,
Africa,Congo,2021-02-24,5518092,,,
Africa,Congo,2021-02-25,5518092,,,
Africa,Congo,2021-02-26,5518092,,,
Africa,Congo,2021-02-27,5518092,,,
Africa,Congo,2021-02-28,5518092,,,
Africa,Congo,2021-03-01,5518092,,,
Africa,Congo,2021-03-02,5518092,,,
Africa,Congo,2021-03-03,5518092,,,
Africa,Congo,2021-03-04,5518092,,,
Africa,Congo,2021-03-05,5518092,,,
Africa,Congo,2021-03-06,5518092,,,
Africa,Congo,2021-03-07,5518092,,,
Africa,Congo,2021-03-08,5518092,,,
Africa,Congo,2021-03-09,5518092,,,
Africa,Congo,2021-03-10,5518092,,,
Africa,Congo,2021-03-11,5518092,,,
Africa,Congo,2021-03-12,5518092,,,
Africa,Congo,2021-03-13,5518092,,,
Africa,Congo,2021-03-14,5518092,,,
Africa,Congo,2021-03-15,5518092,,,
Africa,Congo,2021-03-16,5518092,,,
Africa,Congo,2021-03-17,5518092,,,
Africa,Congo,2021-03-18,5518092,,,
Africa,Congo,2021-03-19,5518092,,,
Africa,Congo,2021-03-20,5518092,,,
Africa,Congo,2021-03-21,5518092,,,
Africa,Congo,2021-03-22,5518092,,,
Africa,Congo,2021-03-23,5518092,,,
Africa,Congo,2021-03-24,5518092,,,
Africa,Congo,2021-03-25,5518092,,,
Africa,Congo,2021-03-26,5518092,,,
Africa,Congo,2021-03-27,5518092,,,
Africa,Congo,2021-03-28,5518092,,,
Africa,Congo,2021-03-29,5518092,,,
Africa,Congo,2021-03-30,5518092,,,
Africa,Congo,2021-03-31,5518092,,,
Africa,Congo,2021-04-01,5518092,,,
Africa,Congo,2021-04-02,5518092,,,
Africa,Congo,2021-04-03,5518092,,,
Africa,Congo,2021-04-04,5518092,,,
Africa,Congo,2021-04-05,5518092,,,
Africa,Congo,2021-04-06,5518092,,,
Africa,Congo,2021-04-07,5518092,,,
Africa,Congo,2021-04-08,5518092,,,
Africa,Congo,2021-04-09,5518092,,,
Africa,Congo,2021-04-10,5518092,,,
Africa,Congo,2021-04-11,5518092,,,
Africa,Congo,2021-04-12,5518092,,,
Africa,Congo,2021-04-13,5518092,,,
Africa,Congo,2021-04-14,5518092,,,
Africa,Congo,2021-04-15,5518092,,,
Africa,Congo,2021-04-16,5518092,,,
Africa,Congo,2021-04-17,5518092,,,
Africa,Congo,2021-04-18,5518092,,,
Africa,Congo,2021-04-19,5518092,,,
Africa,Congo,2021-04-20,5518092,,,
Africa,Congo,2021-04-21,5518092,,,
Africa,Congo,2021-04-22,5518092,,,
Africa,Congo,2021-04-23,5518092,,,
Africa,Congo,2021-04-24,5518092,,,
Africa,Congo,2021-04-25,5518092,,,
Africa,Congo,2021-04-26,5518092,,,
Africa,Congo,2021-04-27,5518092,,,
Africa,Congo,2021-04-28,5518092,,,
Africa,Congo,2021-04-29,5518092,,,
Africa,Congo,2021-04-30,5518092,,,
North America,Costa Rica,2020-03-06,5094114,,,
North America,Costa Rica,2020-03-07,5094114,,,
North America,Costa Rica,2020-03-08,5094114,,,
North America,Costa Rica,2020-03-09,5094114,,,
North America,Costa Rica,2020-03-10,5094114,,,
North America,Costa Rica,2020-03-11,5094114,,,
North America,Costa Rica,2020-03-12,5094114,,,
North America,Costa Rica,2020-03-13,5094114,,,
North America,Costa Rica,2020-03-14,5094114,,,
North America,Costa Rica,2020-03-15,5094114,,,
North America,Costa Rica,2020-03-16,5094114,,,
North America,Costa Rica,2020-03-17,5094114,,,
North America,Costa Rica,2020-03-18,5094114,,,
North America,Costa Rica,2020-03-19,5094114,,,
North America,Costa Rica,2020-03-20,5094114,,,
North America,Costa Rica,2020-03-21,5094114,,,
North America,Costa Rica,2020-03-22,5094114,,,
North America,Costa Rica,2020-03-23,5094114,,,
North America,Costa Rica,2020-03-24,5094114,,,
North America,Costa Rica,2020-03-25,5094114,,,
North America,Costa Rica,2020-03-26,5094114,,,
North America,Costa Rica,2020-03-27,5094114,,,
North America,Costa Rica,2020-03-28,5094114,,,
North America,Costa Rica,2020-03-29,5094114,,,
North America,Costa Rica,2020-03-30,5094114,,,
North America,Costa Rica,2020-03-31,5094114,,,
North America,Costa Rica,2020-04-01,5094114,,,
North America,Costa Rica,2020-04-02,5094114,,,
North America,Costa Rica,2020-04-03,5094114,,,
North America,Costa Rica,2020-04-04,5094114,,,
North America,Costa Rica,2020-04-05,5094114,,,
North America,Costa Rica,2020-04-06,5094114,,,
North America,Costa Rica,2020-04-07,5094114,,,
North America,Costa Rica,2020-04-08,5094114,,,
North America,Costa Rica,2020-04-09,5094114,,,
North America,Costa Rica,2020-04-10,5094114,,,
North America,Costa Rica,2020-04-11,5094114,,,
North America,Costa Rica,2020-04-12,5094114,,,
North America,Costa Rica,2020-04-13,5094114,,,
North America,Costa Rica,2020-04-14,5094114,,,
North America,Costa Rica,2020-04-15,5094114,,,
North America,Costa Rica,2020-04-16,5094114,,,
North America,Costa Rica,2020-04-17,5094114,,,
North America,Costa Rica,2020-04-18,5094114,,,
North America,Costa Rica,2020-04-19,5094114,,,
North America,Costa Rica,2020-04-20,5094114,,,
North America,Costa Rica,2020-04-21,5094114,,,
North America,Costa Rica,2020-04-22,5094114,,,
North America,Costa Rica,2020-04-23,5094114,,,
North America,Costa Rica,2020-04-24,5094114,,,
North America,Costa Rica,2020-04-25,5094114,,,
North America,Costa Rica,2020-04-26,5094114,,,
North America,Costa Rica,2020-04-27,5094114,,,
North America,Costa Rica,2020-04-28,5094114,,,
North America,Costa Rica,2020-04-29,5094114,,,
North America,Costa Rica,2020-04-30,5094114,,,
North America,Costa Rica,2020-05-01,5094114,,,
North America,Costa Rica,2020-05-02,5094114,,,
North America,Costa Rica,2020-05-03,5094114,,,
North America,Costa Rica,2020-05-04,5094114,,,
North America,Costa Rica,2020-05-05,5094114,,,
North America,Costa Rica,2020-05-06,5094114,,,
North America,Costa Rica,2020-05-07,5094114,,,
North America,Costa Rica,2020-05-08,5094114,,,
North America,Costa Rica,2020-05-09,5094114,,,
North America,Costa Rica,2020-05-10,5094114,,,
North America,Costa Rica,2020-05-11,5094114,,,
North America,Costa Rica,2020-05-12,5094114,,,
North America,Costa Rica,2020-05-13,5094114,,,
North America,Costa Rica,2020-05-14,5094114,,,
North America,Costa Rica,2020-05-15,5094114,,,
North America,Costa Rica,2020-05-16,5094114,,,
North America,Costa Rica,2020-05-17,5094114,,,
North America,Costa Rica,2020-05-18,5094114,,,
North America,Costa Rica,2020-05-19,5094114,,,
North America,Costa Rica,2020-05-20,5094114,,,
North America,Costa Rica,2020-05-21,5094114,,,
North America,Costa Rica,2020-05-22,5094114,,,
North America,Costa Rica,2020-05-23,5094114,,,
North America,Costa Rica,2020-05-24,5094114,,,
North America,Costa Rica,2020-05-25,5094114,,,
North America,Costa Rica,2020-05-26,5094114,,,
North America,Costa Rica,2020-05-27,5094114,,,
North America,Costa Rica,2020-05-28,5094114,,,
North America,Costa Rica,2020-05-29,5094114,,,
North America,Costa Rica,2020-05-30,5094114,,,
North America,Costa Rica,2020-05-31,5094114,,,
North America,Costa Rica,2020-06-01,5094114,,,
North America,Costa Rica,2020-06-02,5094114,,,
North America,Costa Rica,2020-06-03,5094114,,,
North America,Costa Rica,2020-06-04,5094114,,,
North America,Costa Rica,2020-06-05,5094114,,,
North America,Costa Rica,2020-06-06,5094114,,,
North America,Costa Rica,2020-06-07,5094114,,,
North America,Costa Rica,2020-06-08,5094114,,,
North America,Costa Rica,2020-06-09,5094114,,,
North America,Costa Rica,2020-06-10,5094114,,,
North America,Costa Rica,2020-06-11,5094114,,,
North America,Costa Rica,2020-06-12,5094114,,,
North America,Costa Rica,2020-06-13,5094114,,,
North America,Costa Rica,2020-06-14,5094114,,,
North America,Costa Rica,2020-06-15,5094114,,,
North America,Costa Rica,2020-06-16,5094114,,,
North America,Costa Rica,2020-06-17,5094114,,,
North America,Costa Rica,2020-06-18,5094114,,,
North America,Costa Rica,2020-06-19,5094114,,,
North America,Costa Rica,2020-06-20,5094114,,,
North America,Costa Rica,2020-06-21,5094114,,,
North America,Costa Rica,2020-06-22,5094114,,,
North America,Costa Rica,2020-06-23,5094114,,,
North America,Costa Rica,2020-06-24,5094114,,,
North America,Costa Rica,2020-06-25,5094114,,,
North America,Costa Rica,2020-06-26,5094114,,,
North America,Costa Rica,2020-06-27,5094114,,,
North America,Costa Rica,2020-06-28,5094114,,,
North America,Costa Rica,2020-06-29,5094114,,,
North America,Costa Rica,2020-06-30,5094114,,,
North America,Costa Rica,2020-07-01,5094114,,,
North America,Costa Rica,2020-07-02,5094114,,,
North America,Costa Rica,2020-07-03,5094114,,,
North America,Costa Rica,2020-07-04,5094114,,,
North America,Costa Rica,2020-07-05,5094114,,,
North America,Costa Rica,2020-07-06,5094114,,,
North America,Costa Rica,2020-07-07,5094114,,,
North America,Costa Rica,2020-07-08,5094114,,,
North America,Costa Rica,2020-07-09,5094114,,,
North America,Costa Rica,2020-07-10,5094114,,,
North America,Costa Rica,2020-07-11,5094114,,,
North America,Costa Rica,2020-07-12,5094114,,,
North America,Costa Rica,2020-07-13,5094114,,,
North America,Costa Rica,2020-07-14,5094114,,,
North America,Costa Rica,2020-07-15,5094114,,,
North America,Costa Rica,2020-07-16,5094114,,,
North America,Costa Rica,2020-07-17,5094114,,,
North America,Costa Rica,2020-07-18,5094114,,,
North America,Costa Rica,2020-07-19,5094114,,,
North America,Costa Rica,2020-07-20,5094114,,,
North America,Costa Rica,2020-07-21,5094114,,,
North America,Costa Rica,2020-07-22,5094114,,,
North America,Costa Rica,2020-07-23,5094114,,,
North America,Costa Rica,2020-07-24,5094114,,,
North America,Costa Rica,2020-07-25,5094114,,,
North America,Costa Rica,2020-07-26,5094114,,,
North America,Costa Rica,2020-07-27,5094114,,,
North America,Costa Rica,2020-07-28,5094114,,,
North America,Costa Rica,2020-07-29,5094114,,,
North America,Costa Rica,2020-07-30,5094114,,,
North America,Costa Rica,2020-07-31,5094114,,,
North America,Costa Rica,2020-08-01,5094114,,,
North America,Costa Rica,2020-08-02,5094114,,,
North America,Costa Rica,2020-08-03,5094114,,,
North America,Costa Rica,2020-08-04,5094114,,,
North America,Costa Rica,2020-08-05,5094114,,,
North America,Costa Rica,2020-08-06,5094114,,,
North America,Costa Rica,2020-08-07,5094114,,,
North America,Costa Rica,2020-08-08,5094114,,,
North America,Costa Rica,2020-08-09,5094114,,,
North America,Costa Rica,2020-08-10,5094114,,,
North America,Costa Rica,2020-08-11,5094114,,,
North America,Costa Rica,2020-08-12,5094114,,,
North America,Costa Rica,2020-08-13,5094114,,,
North America,Costa Rica,2020-08-14,5094114,,,
North America,Costa Rica,2020-08-15,5094114,,,
North America,Costa Rica,2020-08-16,5094114,,,
North America,Costa Rica,2020-08-17,5094114,,,
North America,Costa Rica,2020-08-18,5094114,,,
North America,Costa Rica,2020-08-19,5094114,,,
North America,Costa Rica,2020-08-20,5094114,,,
North America,Costa Rica,2020-08-21,5094114,,,
North America,Costa Rica,2020-08-22,5094114,,,
North America,Costa Rica,2020-08-23,5094114,,,
North America,Costa Rica,2020-08-24,5094114,,,
North America,Costa Rica,2020-08-25,5094114,,,
North America,Costa Rica,2020-08-26,5094114,,,
North America,Costa Rica,2020-08-27,5094114,,,
North America,Costa Rica,2020-08-28,5094114,,,
North America,Costa Rica,2020-08-29,5094114,,,
North America,Costa Rica,2020-08-30,5094114,,,
North America,Costa Rica,2020-08-31,5094114,,,
North America,Costa Rica,2020-09-01,5094114,,,
North America,Costa Rica,2020-09-02,5094114,,,
North America,Costa Rica,2020-09-03,5094114,,,
North America,Costa Rica,2020-09-04,5094114,,,
North America,Costa Rica,2020-09-05,5094114,,,
North America,Costa Rica,2020-09-06,5094114,,,
North America,Costa Rica,2020-09-07,5094114,,,
North America,Costa Rica,2020-09-08,5094114,,,
North America,Costa Rica,2020-09-09,5094114,,,
North America,Costa Rica,2020-09-10,5094114,,,
North America,Costa Rica,2020-09-11,5094114,,,
North America,Costa Rica,2020-09-12,5094114,,,
North America,Costa Rica,2020-09-13,5094114,,,
North America,Costa Rica,2020-09-14,5094114,,,
North America,Costa Rica,2020-09-15,5094114,,,
North America,Costa Rica,2020-09-16,5094114,,,
North America,Costa Rica,2020-09-17,5094114,,,
North America,Costa Rica,2020-09-18,5094114,,,
North America,Costa Rica,2020-09-19,5094114,,,
North America,Costa Rica,2020-09-20,5094114,,,
North America,Costa Rica,2020-09-21,5094114,,,
North America,Costa Rica,2020-09-22,5094114,,,
North America,Costa Rica,2020-09-23,5094114,,,
North America,Costa Rica,2020-09-24,5094114,,,
North America,Costa Rica,2020-09-25,5094114,,,
North America,Costa Rica,2020-09-26,5094114,,,
North America,Costa Rica,2020-09-27,5094114,,,
North America,Costa Rica,2020-09-28,5094114,,,
North America,Costa Rica,2020-09-29,5094114,,,
North America,Costa Rica,2020-09-30,5094114,,,
North America,Costa Rica,2020-10-01,5094114,,,
North America,Costa Rica,2020-10-02,5094114,,,
North America,Costa Rica,2020-10-03,5094114,,,
North America,Costa Rica,2020-10-04,5094114,,,
North America,Costa Rica,2020-10-05,5094114,,,
North America,Costa Rica,2020-10-06,5094114,,,
North America,Costa Rica,2020-10-07,5094114,,,
North America,Costa Rica,2020-10-08,5094114,,,
North America,Costa Rica,2020-10-09,5094114,,,
North America,Costa Rica,2020-10-10,5094114,,,
North America,Costa Rica,2020-10-11,5094114,,,
North America,Costa Rica,2020-10-12,5094114,,,
North America,Costa Rica,2020-10-13,5094114,,,
North America,Costa Rica,2020-10-14,5094114,,,
North America,Costa Rica,2020-10-15,5094114,,,
North America,Costa Rica,2020-10-16,5094114,,,
North America,Costa Rica,2020-10-17,5094114,,,
North America,Costa Rica,2020-10-18,5094114,,,
North America,Costa Rica,2020-10-19,5094114,,,
North America,Costa Rica,2020-10-20,5094114,,,
North America,Costa Rica,2020-10-21,5094114,,,
North America,Costa Rica,2020-10-22,5094114,,,
North America,Costa Rica,2020-10-23,5094114,,,
North America,Costa Rica,2020-10-24,5094114,,,
North America,Costa Rica,2020-10-25,5094114,,,
North America,Costa Rica,2020-10-26,5094114,,,
North America,Costa Rica,2020-10-27,5094114,,,
North America,Costa Rica,2020-10-28,5094114,,,
North America,Costa Rica,2020-10-29,5094114,,,
North America,Costa Rica,2020-10-30,5094114,,,
North America,Costa Rica,2020-10-31,5094114,,,
North America,Costa Rica,2020-11-01,5094114,,,
North America,Costa Rica,2020-11-02,5094114,,,
North America,Costa Rica,2020-11-03,5094114,,,
North America,Costa Rica,2020-11-04,5094114,,,
North America,Costa Rica,2020-11-05,5094114,,,
North America,Costa Rica,2020-11-06,5094114,,,
North America,Costa Rica,2020-11-07,5094114,,,
North America,Costa Rica,2020-11-08,5094114,,,
North America,Costa Rica,2020-11-09,5094114,,,
North America,Costa Rica,2020-11-10,5094114,,,
North America,Costa Rica,2020-11-11,5094114,,,
North America,Costa Rica,2020-11-12,5094114,,,
North America,Costa Rica,2020-11-13,5094114,,,
North America,Costa Rica,2020-11-14,5094114,,,
North America,Costa Rica,2020-11-15,5094114,,,
North America,Costa Rica,2020-11-16,5094114,,,
North America,Costa Rica,2020-11-17,5094114,,,
North America,Costa Rica,2020-11-18,5094114,,,
North America,Costa Rica,2020-11-19,5094114,,,
North America,Costa Rica,2020-11-20,5094114,,,
North America,Costa Rica,2020-11-21,5094114,,,
North America,Costa Rica,2020-11-22,5094114,,,
North America,Costa Rica,2020-11-23,5094114,,,
North America,Costa Rica,2020-11-24,5094114,,,
North America,Costa Rica,2020-11-25,5094114,,,
North America,Costa Rica,2020-11-26,5094114,,,
North America,Costa Rica,2020-11-27,5094114,,,
North America,Costa Rica,2020-11-28,5094114,,,
North America,Costa Rica,2020-11-29,5094114,,,
North America,Costa Rica,2020-11-30,5094114,,,
North America,Costa Rica,2020-12-01,5094114,,,
North America,Costa Rica,2020-12-02,5094114,,,
North America,Costa Rica,2020-12-03,5094114,,,
North America,Costa Rica,2020-12-04,5094114,,,
North America,Costa Rica,2020-12-05,5094114,,,
North America,Costa Rica,2020-12-06,5094114,,,
North America,Costa Rica,2020-12-07,5094114,,,
North America,Costa Rica,2020-12-08,5094114,,,
North America,Costa Rica,2020-12-09,5094114,,,
North America,Costa Rica,2020-12-10,5094114,,,
North America,Costa Rica,2020-12-11,5094114,,,
North America,Costa Rica,2020-12-12,5094114,,,
North America,Costa Rica,2020-12-13,5094114,,,
North America,Costa Rica,2020-12-14,5094114,,,
North America,Costa Rica,2020-12-15,5094114,,,
North America,Costa Rica,2020-12-16,5094114,,,
North America,Costa Rica,2020-12-17,5094114,,,
North America,Costa Rica,2020-12-18,5094114,,,
North America,Costa Rica,2020-12-19,5094114,,,
North America,Costa Rica,2020-12-20,5094114,,,
North America,Costa Rica,2020-12-21,5094114,,,
North America,Costa Rica,2020-12-22,5094114,,,
North America,Costa Rica,2020-12-23,5094114,,,
North America,Costa Rica,2020-12-24,5094114,,,
North America,Costa Rica,2020-12-25,5094114,,,
North America,Costa Rica,2020-12-26,5094114,,,
North America,Costa Rica,2020-12-27,5094114,,,
North America,Costa Rica,2020-12-28,5094114,,,
North America,Costa Rica,2020-12-29,5094114,,,
North America,Costa Rica,2020-12-30,5094114,,,
North America,Costa Rica,2020-12-31,5094114,,,
North America,Costa Rica,2021-01-01,5094114,,,
North America,Costa Rica,2021-01-02,5094114,,,
North America,Costa Rica,2021-01-03,5094114,,,
North America,Costa Rica,2021-01-04,5094114,,,
North America,Costa Rica,2021-01-05,5094114,,,
North America,Costa Rica,2021-01-06,5094114,,,
North America,Costa Rica,2021-01-07,5094114,,,
North America,Costa Rica,2021-01-08,5094114,,,
North America,Costa Rica,2021-01-09,5094114,,,
North America,Costa Rica,2021-01-10,5094114,,,
North America,Costa Rica,2021-01-11,5094114,,,
North America,Costa Rica,2021-01-12,5094114,,,
North America,Costa Rica,2021-01-13,5094114,,,
North America,Costa Rica,2021-01-14,5094114,,,
North America,Costa Rica,2021-01-15,5094114,,,
North America,Costa Rica,2021-01-16,5094114,,,
North America,Costa Rica,2021-01-17,5094114,,,
North America,Costa Rica,2021-01-18,5094114,,,
North America,Costa Rica,2021-01-19,5094114,,,
North America,Costa Rica,2021-01-20,5094114,,,
North America,Costa Rica,2021-01-21,5094114,,,
North America,Costa Rica,2021-01-22,5094114,,,
North America,Costa Rica,2021-01-23,5094114,,,
North America,Costa Rica,2021-01-24,5094114,,,
North America,Costa Rica,2021-01-25,5094114,,,
North America,Costa Rica,2021-01-26,5094114,,,
North America,Costa Rica,2021-01-27,5094114,,,
North America,Costa Rica,2021-01-28,5094114,,,
North America,Costa Rica,2021-01-29,5094114,,,
North America,Costa Rica,2021-01-30,5094114,,,
North America,Costa Rica,2021-01-31,5094114,,,
North America,Costa Rica,2021-02-01,5094114,,,
North America,Costa Rica,2021-02-02,5094114,,,
North America,Costa Rica,2021-02-03,5094114,,,
North America,Costa Rica,2021-02-04,5094114,,,
North America,Costa Rica,2021-02-05,5094114,,,
North America,Costa Rica,2021-02-06,5094114,,,
North America,Costa Rica,2021-02-07,5094114,,,
North America,Costa Rica,2021-02-08,5094114,,,
North America,Costa Rica,2021-02-09,5094114,,,
North America,Costa Rica,2021-02-10,5094114,,,
North America,Costa Rica,2021-02-11,5094114,,,
North America,Costa Rica,2021-02-12,5094114,,,
North America,Costa Rica,2021-02-13,5094114,,,
North America,Costa Rica,2021-02-14,5094114,,,
North America,Costa Rica,2021-02-15,5094114,,,
North America,Costa Rica,2021-02-16,5094114,,,
North America,Costa Rica,2021-02-17,5094114,,,
North America,Costa Rica,2021-02-18,5094114,,,
North America,Costa Rica,2021-02-19,5094114,,,
North America,Costa Rica,2021-02-20,5094114,,,
North America,Costa Rica,2021-02-21,5094114,,,
